,player,id
463,Jerome Jordan,202366
464,Michael Beasley,201563
465,Michael Harris,200839
466,Victor Claver,201964
467,Marreese Speights,201578
468,Maalik Wayns,203146
469,Damjan Rudez,204014
470,Chase Budinger,201978
471,CJ Watson,201228
472,Tobias Harris,202699
473,Danny Granger,101122
474,Cristiano Felicio,1626245
475,Eric Gordon,201569
476,Jeremy Tyler,202719
477,Matt Bonner,2588
478,Ian Mahinmi,101133
479,Allen Crabbe,203459
480,Clint Capela,203991
481,Danny Green,201980
482,Aaron Gordon,203932
483,Furkan Aldemir,203128
484,Mustafa Shakur,201203
485,Russell Westbrook,201566
486,Trey Lyles,1626168
487,Dirk Nowitzki,1717
488,Luc Mbah a Moute,201601
489,DeMar DeRozan,201942
490,Glen Davis,201175
491,Josh Harrellson,202725
492,Drew Gordon,204079
493,Tim Duncan,1495
494,Wayne Ellington,201961
495,Shabazz Napier,203894
496,Mason Plumlee,203486
497,Matt Barnes,2440
498,Earl Watson,2248
499,Justin Hamilton,203120
500,Dahntay Jones,2563
501,Elliot Williams,202343
502,Lamar Patterson,203934
503,Gustavo Ayon,202970
504,Landry Fields,202361
505,Tyshawn Taylor,203116
506,Joel Freeland,200777
507,Iman Shumpert,202697
508,Andrew Nicholson,203094
509,JJ Redick,200755
510,Harrison Barnes,203084
511,RJ Hunter,1626154
512,Ryan Anderson,201583
513,Dennis Schroder,203471
514,Ray McCallum,203492
515,Cartier Martin,201858
516,Joffrey Lauvergne,203530
517,Serge Ibaka,201586
518,Sean Kilpatrick,203930
519,Tyson Chandler,2199
520,Jerryd Bayless,201573
521,Richard Jefferson,2210
522,Arinze Onuaku,202620
523,Reggie Jackson,202704
524,Ryan Kelly,203527
525,Nate Robinson,101126
526,Spencer Dinwiddie,203915
527,Carl Landry,201171
528,Nick Johnson,203910
529,Jason Thompson,201574
530,Tony Snell,203503
531,Dion Waiters,203079
532,Andris Biedrins,2740
533,Andre Miller,1889
534,Royal Ivey,2767
535,Keith Bogans,2586
536,Kent Bazemore,203145
537,Darius Miller,203121
538,Nemanja Bjelica,202357
539,Tayshaun Prince,2419
540,DeJuan Blair,201971
541,Tyler Zeller,203092
542,Terrence Ross,203082
543,Thanasis Antetokounmpo,203648
544,Eric Moreland,203961
545,Gerald Henderson,201945
546,Francisco Garcia,101128
547,Andre Drummond,203083
548,Nicolas Batum,201587
549,Andrea Bargnani,200745
550,Glenn Robinson,203922
551,James Anderson,202341
552,Phil Pressey,203515
553,Arron Afflalo,201167
554,Andray Blatche,101154
555,Cody Zeller,203469
556,Marcus Morris,202694
557,Derrick Rose,201565
558,Myles Turner,1626167
559,Brendan Haywood,2217
560,Stephen Jackson,1536
561,Ronnie Price,101179
562,Luis Scola,2449
563,Brian Roberts,203148
564,Marcin Gortat,101162
565,Kawhi Leonard,202695
566,MarShon Brooks,202705
567,Anthony Randolph,201576
568,Kenyon Martin,2030
569,Al Jefferson,2744
570,Channing Frye,101112
571,Devin Harris,2734
572,Shane Larkin,203499
573,Ben Gordon,2732
574,Otto Porter,203490
575,Darren Collison,201954
576,Justin Anderson,1626147
577,Alec Burks,202692
578,JaKarr Sampson,203960
579,Nerlens Noel,203457
580,Ryan Gomes,101155
581,Giannis Antetokounmpo,203507
582,Chris Smith,203147
583,Andre Iguodala,2738
584,Stanley Johnson,1626169
585,Alonzo Gee,202087
586,Gary Harris,203914
587,Elton Brand,1882
588,Evan Fournier,203095
589,Trey Burke,203504
590,Mario Hezonja,1626209
591,Jared Dudley,201162
