player_year,MP_x,2P,3P,3PA,FTr,TS%_x,ORB,TRB,AST%,STL%,BLK%,3PAr,DWS,DBPM,dist,dfga,label
Justin Anderson/2016-17,16.4,3.8,1.7,5.7,0.294,0.537,2.0,7.2,8.8,1.7,1.6,0.442,1.3,-0.3,1.06658536585,1.4512195122,0
JaKarr Sampson/2015-16,15.9,3.9,0.4,2.0,0.385,0.504,1.4,5.9,6.2,1.0,2.2,0.199,0.6,-0.8,1.066875,1.875,0
Nick Collison/2014-15,16.7,2.9,0.5,2.0,0.257,0.485,2.9,8.2,11.6,1.6,1.8,0.237,1.2,1.2,1.07013513514,2.87837837838,0
Luc Mbah a Moute/2015-16,17.0,2.3,0.4,1.1,0.275,0.498,1.7,4.8,3.3,1.7,1.2,0.193,1.3,1.5,1.07112359551,1.49438202247,0
Chase Budinger/2014-15,19.2,3.3,1.5,4.0,0.208,0.537,0.9,5.5,8.0,1.7,0.6,0.367,0.2,-1.9,1.07195121951,1.59756097561,15
Thabo Sefolosha/2015-16,23.4,3.0,0.9,2.5,0.266,0.578,1.1,6.8,8.8,2.4,1.7,0.333,3.2,2.8,1.07201550388,1.31782945736,15
Vince Carter/2014-15,16.5,2.2,2.3,7.7,0.14,0.445,0.9,4.4,11.1,2.1,1.1,0.571,1.4,-0.3,1.074,1.2375,12
Devin Harris/2016-17,16.7,2.6,1.9,5.9,0.378,0.549,0.4,4.2,20.0,2.1,0.6,0.519,1.1,-0.3,1.07742424242,0.878787878788,7
Tarik Black/2014-15,19.0,4.7,0.0,0.0,0.432,0.583,4.3,11.1,5.6,0.8,1.6,0.004,0.9,-0.6,1.07815789474,3.23684210526,8
Ty Lawson/2015-16,21.4,2.6,0.9,2.8,0.243,0.476,0.7,3.1,24.6,1.9,0.4,0.305,0.7,-2.0,1.07887755102,0.714285714286,18
Nene Hilario/2015-16,19.2,6.9,0.0,0.1,0.482,0.564,1.7,8.5,14.1,2.4,1.9,0.008,1.6,1.8,1.08044776119,3.5223880597,13
Channing Frye/2016-17,18.9,2.6,3.5,8.6,0.142,0.612,1.0,7.5,4.9,1.2,2.1,0.644,1.4,-1.5,1.08311827957,4.27956989247,15
Ian Mahinmi/2014-15,18.8,3.7,0.0,0.0,0.481,0.516,3.3,11.2,4.4,1.3,3.1,0.0,2.0,2.6,1.08478873239,4.66197183099,8
Mike Scott/2014-15,16.5,4.3,2.1,6.2,0.17,0.543,1.4,6.4,10.9,1.1,0.2,0.424,1.1,-2.1,1.08576470588,1.6,12
Ramon Sessions/2016-17,16.2,3.5,0.9,2.8,0.449,0.495,0.5,3.2,24.2,1.6,0.3,0.236,0.6,-2.3,1.08816326531,0.69387755102,7
Lavoy Allen/2015-16,20.2,4.3,0.0,0.0,0.197,0.532,3.6,9.5,7.1,0.8,2.1,0.0,2.1,1.4,1.08844660194,2.66990291262,8
Richaun Holmes/2016-17,20.9,6.1,0.8,2.3,0.25,0.611,2.8,9.4,8.3,1.7,3.7,0.187,1.6,1.5,1.09144736842,4.30263157895,2
Chris Bosh/2015-16,33.5,5.6,1.6,4.5,0.349,0.571,1.0,7.9,12.1,1.0,1.5,0.289,2.3,-0.3,1.09392156863,2.64705882353,5
Anthony Tolliver/2015-16,18.6,0.8,2.6,7.3,0.142,0.543,1.0,6.1,5.6,1.0,0.9,0.819,1.3,0.0,1.10337209302,1.95348837209,12
Dante Exum/2016-17,18.6,3.3,1.3,4.4,0.201,0.521,0.9,3.9,14.2,0.9,0.8,0.41,1.3,-0.5,1.10729411765,1.05882352941,12
Andrew Bogut/2015-16,20.7,4.3,0.0,0.0,0.179,0.623,3.0,12.2,14.8,1.1,5.8,0.004,2.9,5.1,1.10844660194,5.1067961165,13
Corey Brewer/2015-16,20.4,3.3,1.3,4.8,0.254,0.481,0.9,4.3,10.0,2.5,0.9,0.406,1.2,-1.0,1.10947826087,1.21739130435,15
