Rk,Player,Season,Age,Tm,Lg,G,MP,TS%,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%
111,Jeff Adrien\adrieje01,2013-14,27,TOT,NBA,53,18.1,.553,12,961,5.4,10.3,5.4,10.3,0.0,0.0,2.8,4.5,3.8,7.6,11.5,1.4,0.9,1.3,1.5,4.0,13.6,.520,.520,,.520,.639
112,James Johnson\johnsja01,2013-14,26,MEM,NBA,52,18.4,.552,4,956,5.4,11.6,4.6,8.3,0.8,3.3,2.9,3.4,2.3,4.0,6.3,4.2,1.6,2.1,2.5,3.8,14.5,.464,.548,.253,.500,.844
113,Kris Humphries\humphkr01,2013-14,28,BOS,NBA,69,19.9,.552,30,1376,6.0,12.1,6.0,12.0,0.0,0.1,3.1,3.8,3.3,7.4,10.7,1.8,0.8,1.6,1.7,3.6,15.1,.501,.503,.000,.501,.813
114,Marcus Morris\morrima03,2013-14,24,PHO,NBA,82,22.0,.552,1,1800,5.8,13.0,3.8,7.8,2.0,5.2,2.4,3.2,1.7,4.7,6.4,1.8,1.4,0.4,1.9,3.1,15.9,.442,.483,.381,.518,.761
115,Matt Barnes\barnema02,2013-14,33,LAC,NBA,63,27.5,.552,40,1735,4.8,10.9,2.8,5.1,2.0,5.9,1.4,1.9,1.2,4.8,6.1,2.6,1.2,0.6,1.8,3.8,13.0,.438,.549,.343,.530,.733
116,Jae Crowder\crowdja01,2013-14,23,DAL,NBA,78,16.1,.551,8,1254,3.7,8.5,2.3,4.2,1.4,4.3,1.3,1.8,1.3,4.2,5.6,1.7,1.7,0.6,1.2,2.9,10.2,.439,.552,.331,.524,.754
117,Shaun Livingston\livinsh01,2013-14,28,BRK,NBA,76,26.0,.551,54,1974,4.3,8.9,4.3,8.8,0.0,0.1,2.9,3.5,1.2,3.3,4.5,4.5,1.7,0.6,1.9,3.1,11.5,.483,.486,.167,.484,.827
118,Corey Brewer\breweco01,2013-14,27,MIN,NBA,81,32.2,.550,81,2609,5.4,11.1,4.5,8.2,0.8,2.9,2.2,3.1,0.9,2.0,2.9,1.9,2.1,0.4,1.4,2.9,13.8,.481,.552,.280,.517,.718
119,Jeremy Evans\evansje01,2013-14,26,UTA,NBA,66,18.3,.549,4,1209,5.2,9.9,5.2,9.8,0.0,0.1,1.5,2.2,3.6,5.7,9.2,1.3,1.3,1.4,1.2,4.1,11.9,.527,.530,.000,.527,.680
120,Mike Dunleavy\dunlemi02,2013-14,33,CHI,NBA,82,31.5,.549,61,2584,4.6,10.8,2.9,6.3,1.7,4.5,2.0,2.3,0.6,4.2,4.8,2.6,0.9,0.6,1.5,2.3,12.9,.430,.467,.380,.510,.854
