player_year,MP_x,tchs,2P,3P,3PA,FTr,TS%_x,ORB,TRB,AST%,STL%,BLK%,3PAr,DWS,DBPM,dist,dfga,label
Gorgui Dieng/2016-17,32.4,48.8192771084,4.3,0.2,0.6,0.253,0.555,2.6,8.8,8.6,1.7,3.1,0.065,2.5,2.2,2.15096385542,7.30120481928,1
Marcus Morris/2016-17,32.5,46.5,4.3,1.7,5.0,0.184,0.508,1.1,5.1,9.4,1.0,0.8,0.355,2.4,-0.2,2.1557317073199997,2.15853658537,1
Pau Gasol/2014-15,34.4,68.2359550562,7.5,0.2,0.3,0.317,0.55,3.0,12.3,14.4,0.5,4.0,0.023,4.4,2.1,2.15595505618,10.2921348315,4
Gary Harris/2015-16,32.1,32.2375,3.7,1.5,4.4,0.174,0.5660000000000001,0.8,3.2,9.5,2.0,0.6,0.38799999999999996,1.2,-0.7,2.156,1.6125,11
Mike Conley/2014-15,31.8,77.7375,4.6,1.7,4.5,0.282,0.5579999999999999,0.5,3.4,28.0,2.1,0.5,0.314,2.7,-0.5,2.157125,1.6125,2
Rodney Hood/2015-16,32.2,53.2716049383,3.5,2.3,6.4,0.20600000000000002,0.542,0.5,3.8,14.4,1.5,0.5,0.462,2.5,-0.9,2.1585185185199998,1.76543209877,8
Harrison Barnes/2014-15,28.3,37.932038835,3.6,1.4,3.3,0.22899999999999998,0.573,1.8,7.0,6.9,1.3,0.6,0.32799999999999996,3.0,0.6,2.1632038835,3.6116504854400002,11
Tyreke Evans/2014-15,34.1,72.0930232558,6.0,0.9,3.0,0.25,0.508,1.1,5.6,32.7,2.0,1.0,0.195,2.2,0.1,2.1666279069799996,2.95348837209,2
Luol Deng/2014-15,33.6,41.2307692308,4.3,1.2,3.3,0.319,0.561,1.5,5.6,9.9,1.4,0.8,0.28,1.6,-0.6,2.16987179487,3.0641025641,11
Ty Lawson/2014-15,35.5,75.9012345679,4.5,0.9,2.8,0.392,0.526,0.6,3.2,43.0,1.7,0.3,0.221,1.0,-2.1,2.17419753086,1.16049382716,2
James Harden/2016-17,36.4,94.94565217389999,5.0,3.2,9.2,0.575,0.613,1.2,8.1,50.7,2.0,1.0,0.493,3.6,1.5,2.1760869565200003,4.09782608696,10
Paul Millsap/2014-15,32.7,61.602150537600004,5.5,1.2,3.3,0.36200000000000004,0.565,2.1,8.6,15.4,2.8,2.4,0.23199999999999998,4.3,2.6,2.17677419355,8.63440860215,8
Patrick Beverley/2014-15,30.8,61.0169491525,1.9,2.4,6.7,0.113,0.509,1.4,4.9,17.2,1.7,1.0,0.607,1.8,0.3,2.18101694915,1.83050847458,8
Trevor Ariza/2015-16,35.3,47.340425531899996,2.2,2.3,6.3,0.187,0.551,0.8,4.6,10.0,2.8,0.8,0.581,2.3,0.3,2.1813829787200003,1.9574468085099999,1
Paul Millsap/2015-16,32.7,62.5684210526,5.8,1.0,3.2,0.38299999999999995,0.556,2.7,10.0,16.4,2.7,4.1,0.218,6.0,4.2,2.18494736842,8.02105263158,8
Courtney Lee/2016-17,31.9,41.5949367089,3.1,1.6,3.9,0.139,0.5589999999999999,0.8,3.8,10.6,1.6,0.8,0.382,1.1,-0.7,2.18607594937,1.6835443038,11
Jae Crowder/2016-17,32.4,50.03370786520001,2.7,2.4,6.1,0.301,0.613,0.7,6.4,10.1,1.5,0.8,0.547,2.5,0.1,2.18617977528,2.43820224719,1
Derrick Rose/2016-17,32.5,76.5909090909,7.7,0.2,1.0,0.259,0.53,1.1,4.3,22.8,1.1,0.7,0.061,0.6,-2.2,2.18818181818,1.9242424242400002,2
Kevin Durant/2016-17,33.4,59.0649350649,7.5,2.0,5.4,0.374,0.6509999999999999,0.7,8.9,23.1,1.5,3.8,0.304,4.0,2.6,2.1942857142900003,4.74025974026,8
Serge Ibaka/2014-15,33.1,57.453125,5.1,1.3,3.5,0.14,0.5489999999999999,2.3,8.5,4.2,0.7,5.8,0.261,2.7,1.3,2.1953125,9.265625,8
Dennis Schroder/2016-17,31.5,79.2906976744,6.5,1.4,4.3,0.21,0.5329999999999999,0.6,3.6,35.5,1.5,0.6,0.242,2.5,-1.4,2.19930232558,1.29069767442,2
Elfrid Payton/2014-15,30.4,67.743902439,4.2,0.2,0.6,0.302,0.456,1.5,5.0,32.6,2.9,0.7,0.059000000000000004,2.3,0.8,2.2,2.17073170732,4
Tobias Harris/2016-17,31.3,58.207317073199995,5.6,1.5,4.4,0.213,0.568,0.9,5.8,8.8,1.2,1.3,0.295,2.8,0.1,2.20012195122,3.4634146341500003,8
Anthony Davis/2016-17,36.1,69.12658227850001,9.7,0.5,1.8,0.424,0.579,2.3,11.8,11.1,1.7,5.1,0.08800000000000001,5.1,2.3,2.20075949367,6.265822784809999,4
Victor Oladipo/2016-17,33.2,44.0131578947,4.6,2.1,5.7,0.165,0.534,0.6,4.7,12.5,1.7,0.8,0.37799999999999995,2.3,-0.9,2.20105263158,2.43421052632,1
DeAndre Jordan/2014-15,34.4,48.65625,4.8,0.0,0.1,0.882,0.638,5.1,15.7,3.2,1.5,5.4,0.006999999999999999,5.4,3.2,2.20270833333,8.802083333330001,1
Mike Dunleavy/2014-15,29.2,37.68,2.0,2.1,5.2,0.18100000000000002,0.573,0.5,4.9,9.7,1.1,0.8,0.547,1.7,-0.2,2.2113333333300003,2.10666666667,11
Kawhi Leonard/2016-17,33.4,52.7826086957,7.1,2.1,5.6,0.40700000000000003,0.611,1.2,6.3,18.9,2.7,1.8,0.294,4.7,1.5,2.2119565217400003,2.42391304348,8
LeBron James/2016-17,37.8,82.7395833333,7.9,1.6,4.4,0.395,0.619,1.2,8.2,41.3,1.6,1.3,0.254,3.0,1.6,2.22083333333,3.51041666667,2
